MEDIA_ID,MEDIA_NAME,CNT,TIME(2025/03/27 12:54:45.623),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,
0,NewMedia,9,0.14760,506408001423,0.66516,0.32295,0.00000,0.14759,1,1,0.68428,0.27372,1,0.48385,0.23519,0,,0.49414,0.41297,9.51186,0.98494,1,0.83947,0.37552,11.48385,0.98827,1,0,0.00000,17,
0,NewMedia,41,0.67350,506413260446,0.48992,0.16849,0.21350,0.46000,2,1,0.57641,0.30590,1,0.59583,0.81389,0,,0.48685,0.40625,8.43995,0.96904,1,0.83212,0.37084,11.39421,0.96708,1,0,0.00000,17,
0,NewMedia,68,1.11696,506417695106,0.58863,0.32079,0.73895,0.37802,3,1,0.58609,0.26303,1,0.62083,0.99259,0,,0.48721,0.41139,9.69961,0.99554,1,0.83174,0.37080,11.36211,0.99887,1,0,0.00000,17,
0,NewMedia,86,1.41256,506420650992,0.60432,0.33716,1.13332,0.27924,4,1,0.62881,0.39074,1,0.62031,0.98333,0,,0.48762,0.41212,8.90412,0.95391,1,0.83243,0.37347,10.70406,0.95195,1,0,0.00000,17,
0,NewMedia,90,1.47858,506421311266,0.59812,0.34138,1.42899,0.04960,5,1,0.58129,0.33741,1,0.62187,0.98333,0,,0.48684,0.41332,9.17661,0.96400,0,0.43677,0.46391,4.84785,0.97238,1,0,0.00000,17,
0,NewMedia,131,2.15194,506428044819,0.60109,0.33130,1.88909,0.26285,6,1,0.53734,0.67164,1,0.62344,0.98333,0,,0.48061,0.41725,8.79125,0.97133,1,0.82445,0.37527,11.06135,0.97466,1,0,0.00000,17,
0,NewMedia,177,2.90757,506435601099,0.56113,0.18347,2.61181,0.29575,7,1,0.53948,0.29921,1,0.55833,0.44722,0,,0.48268,0.41382,8.21130,0.97007,1,0.82672,0.37064,9.43375,0.96860,1,0,0.00000,18,
0,NewMedia,186,3.05537,506437079130,0.53699,0.32391,2.92428,0.13109,8,1,0.50234,0.40898,0,0.55833,0.44722,0,,0.48266,0.41353,7.97868,0.94510,0,0.82670,0.37313,7.48914,0.94843,0,491,0.00000,18,
0,NewMedia,220,3.61423,506442667789,0.48714,0.18097,3.36749,0.24676,9,1,0.36822,0.10672,1,0.55833,0.44722,0,,0.47990,0.40546,8.33467,0.96981,1,0.82467,0.36737,10.92306,0.97289,1,0,0.00000,19,
0,NewMedia,237,3.89315,506445456909,0.46629,0.12674,3.67973,0.21342,10,1,0.61340,0.19294,1,0.55833,0.44722,0,,0.83262,0.37208,10.60840,0.94455,1,0.82694,0.36861,11.27070,0.94258,0,0,0.00000,18,
0,NewMedia,256,4.20557,506448581118,0.55687,0.29803,3.95923,0.24635,11,1,0.49992,0.33805,1,0.55833,0.44722,0,,0.48585,0.41279,8.28304,0.93550,1,0.83000,0.37251,10.96065,0.94388,1,0,0.00000,18,
0,NewMedia,282,4.63343,506452859719,0.20261,0.22841,4.32059,0.31284,12,1,0.18431,0.27235,0,0.55833,0.44722,0,,0.47203,0.40661,7.59700,0.92468,0,0.81707,0.36724,7.00885,0.92272,0,492,0.00000,18,
0,NewMedia,317,5.20757,506458601148,0.36915,0.16131,4.99426,0.21331,13,1,0.62420,0.15022,1,0.55833,0.44722,0,,0.82743,0.37009,10.11600,0.96168,1,0.81730,0.36474,11.24008,0.97438,0,0,0.00000,18,
0,NewMedia,343,5.63475,506462872950,0.56210,0.21433,5.27330,0.36145,14,1,0.58690,0.64977,1,0.55833,0.44722,0,,0.48431,0.40967,8.42383,0.93400,0,0.82817,0.38029,10.76314,0.94238,1,0,0.00000,18,
0,NewMedia,361,5.93049,506465830401,0.56468,0.70053,5.70051,0.22998,15,1,0.58798,0.78365,1,0.55833,0.44722,0,,0.49106,0.42183,8.11103,0.95108,1,0.83737,0.38105,10.79138,0.94912,1,0,0.00000,18,
0,NewMedia,414,6.80123,506474537704,0.30976,0.16711,6.53833,0.26290,16,1,0.22216,0.21394,1,0.55833,0.44722,0,,0.47037,0.40160,7.91530,0.94028,1,0.81560,0.35816,11.29856,0.94335,1,0,0.00000,18,
0,NewMedia,444,7.29420,506479467468,0.22455,0.14349,6.81783,0.47637,17,1,0.24268,0.03950,1,0.55833,0.44722,0,,0.45540,0.39068,7.58792,0.91141,1,0.80227,0.34242,10.54442,0.91881,1,0,0.00000,18,
0,NewMedia,461,7.57339,506482259345,0.18018,0.10582,7.31054,0.26286,18,1,0.23378,0.14284,1,0.55833,0.44722,0,,0.46941,0.39271,8.05739,0.88394,1,0.81516,0.34876,10.57591,0.88247,1,0,0.00000,18,
